,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,3.038165907327466,3.0147076230841154,2.6484489149562886,1.417212547698619,1.0859486871027124,0.771074936433794,1.9283771667513656,1.2355705617673463,0.40380552040254536,1.945209247657914,0.7264582717292316,1.760583590155519,-3.9858908244767157,-3.9858908244767157,0.33215756870639296,0.33215756870639296,0.001957384681125153,0.001957384681125153,6.210009388035424,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.9068201461743306,2.505582114083341,0.07171117460420265,0.7609406908795098,2.1892357970389758,3.0374986979311047,0.5178589471861231,3.0864624280632835,2.627196979061141,0.18560691009660854,1.9779539413747789,3.0252736894865584,-6.82979032640429,-6.82979032640429,0.5691491938670242,0.5691491938670242,0.003199637720340539,0.003199637720340539,3.772990741345083,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,0.6193513531976762,0.7253497398517783,0.40675860347046183,3.1158682476257646,0.4905546599071365,2.3727221331411474,0.9761351714501224,0.1359712465189171,0.8531993873606314,2.2394958271459067,1.7876001236580277,1.0351671155742919,-7.68079723056244,-7.68079723056244,0.6400664358802034,0.6400664358802034,0.06856406863301974,0.06856406863301974,6.197322360269105,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,2.7693637708365295,2.761067066570343,3.09595468231838,2.258224114215336,0.8894425299681656,1.4928445803952912,2.451826521817651,0.698054445225781,2.04491557273273,3.076347877662014,2.857986735168675,0.3810287300893339,-7.696617256893801,-7.696617256893801,0.6413847714078168,0.6413847714078168,0.010852932896452252,0.06856406863301974,2.900793694780184,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,1.1653647017031339,1.1584478272268393,1.543738748326344,2.172023489999894,0.09823712558595013,0.37723760071258666,1.6736879801107178,2.749726355902127,0.05708836555106694,1.1864613132846782,2.7482799167056307,0.7421410870946674,-6.869024859276622,-7.696617256893801,0.5724187382730518,0.6413847714078168,0.0016071077533844854,0.06856406863301974,5.3806559199205495,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,2.438124279945399,0.07591801855458843,2.4134720425512826,0.9964349468911228,1.621749771453941,1.7041836579447454,1.301335196841574,0.4347668879400473,1.4685101807055105,1.8004628882972438,0.07867025999404059,2.7840553332974833,-6.94037778915967,-7.696617256893801,0.5783648157633058,0.6413847714078168,0.01564699636424564,0.06856406863301974,5.330366797456641,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,0.0943768422807722,1.4041974643650186,1.25118722964997,1.8224356886419764,2.985980545185544,2.75598036319117,2.9270163810533036,1.971967724348694,1.5844431244729469,0.35637334584041863,0.4412413562397745,1.9943686064808297,-7.186356951614368,-7.696617256893801,0.5988630793011973,0.6413847714078168,0.00771464022250369,0.06856406863301974,4.630293511716758,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.6666578124460296,2.1665653506190403,0.9231645534486446,2.5505166545916844,1.3155306877250343,0.1831289674489495,0.25236292879257843,1.8609769750370886,1.0233655299075157,2.7308098815925024,2.3231143458380767,0.19710206015611487,-6.788492786895116,-7.696617256893801,0.5657077322412597,0.6413847714078168,0.030854191285815014,0.06856406863301974,6.302102640316697,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,1.4381102591119364,0.5019985607868752,1.7966161755484447,0.443879566246981,2.664111273447329,1.2176142072347138,2.5928396399103955,2.2587341554336473,2.3476301634592556,1.3548991459951965,1.0469201440991787,1.3876494187210098,-7.270247465929737,-7.696617256893801,0.6058539554941448,0.6413847714078168,0.006067684240466383,0.06856406863301974,3.8976448578840674,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,0.8606174785960031,1.7648222551237729,2.09202900505556,0.20719427314374722,2.3800980437770853,2.098008963330861,0.9261010754676665,1.4887851630228175,2.935557987340575,0.8335940248686591,1.339288756046839,2.2373612099413704,-7.512667942883848,-7.696617256893801,0.6260556619069874,0.6413847714078168,0.0010817503126453658,0.06856406863301974,4.043634263820664,6.587431643180006,37.377345552259285,0.0,0.0,0,0.0,0.0,0.0,0.0
