,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,BETA_6,GAMMA_6,BETA_7,GAMMA_7,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,0.585987187391434,2.8283356715258963,2.1342850415037966,3.0263408693137714,0.322524739545756,2.141649164543541,2.2049764508526297,1.9556790959303023,1.5378160180454348,2.4445717436614984,0.08302042570988423,0.34920214310414477,1.7781530440528628,1.0165855597988975,1.8430090939969135,1.7193082752149182,-8.142577756877747,-8.142577756877747,0.678548146406479,0.678548146406479,0.017721401033273722,0.017721401033273722,4.119888292484177,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.0757244587572918,0.0757944962769942,0.5490622521235603,2.385740956330529,1.771185519035211,0.27997196755647474,1.6772756349624014,2.967050369300036,0.7909624233394696,1.3796295768111522,0.7599354162036301,0.3002497337429592,0.22928755199266918,2.3889650641774334,3.082618442430516,0.7237608701549552,-7.13120502409922,-8.142577756877747,0.5942670853416017,0.678548146406479,0.012074377221710808,0.017721401033273722,5.276563987149274,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,2.617303196411554,2.901410998909047,0.3180974191222843,2.7979247000901872,3.065177254098183,1.719382951994573,3.117324558475109,0.6590844327499398,1.879702592446163,2.0041800879203255,1.0238926478217767,2.958652459993179,2.7077862559623473,2.559038184785745,0.856999523696456,0.26505391417255403,-6.768302846039121,-8.142577756877747,0.5640252371699267,0.678548146406479,0.0007816149580616159,0.017721401033273722,5.559697899821764,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.4031341210618278,1.223902616694333,0.9235177117626835,0.6558718862159394,0.8009180803515995,2.44536062320449,2.6089254157837636,0.9828852552401443,2.4887960597994803,0.5076697102724885,2.4118838938030778,1.6078807360964489,0.5800922826090494,1.4897552160641137,0.6106686853036378,2.635852985274989,-6.138110186732426,-8.142577756877747,0.5115091822277021,0.678548146406479,0.005870471122471714,0.017721401033273722,6.7532059167739575,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,3.0771537370694957,1.6784394557755768,1.4990748915146161,1.6269858146805893,2.605510776210367,0.9719399852731095,1.1286053619455083,1.8382391099568385,2.532794019186565,1.6879856300261653,1.2912508721894917,1.4199695072481908,0.7080843184270635,0.16889195180547367,1.1545342205781959,2.282614673523891,-7.089466404195436,-8.142577756877747,0.5907888670162863,0.678548146406479,0.016734710375959246,0.017721401033273722,5.665993170851529,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.8733715892852277,2.1762516789020023,2.9994181768009662,0.6337898319825737,1.568302416799083,2.916445082547589,0.16763363134885195,0.5897128479220041,0.12956154006700268,0.1829699411538654,2.1194430327169256,1.1685012466490456,2.8977515461410084,3.0524473111681685,0.3008817700785342,2.849556179784213,-9.175437056825984,-9.175437056825984,0.7646197547354987,0.7646197547354987,0.050920618457910544,0.050920618457910544,3.2722464001235068,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,1.801211697474969,1.402306838863933,1.1256316286313535,1.917623745237214,0.5944089402247297,0.8832006186032367,0.7895954011965508,1.4451621775671804,2.0351268124486706,0.6713854665292257,2.6173528877277885,2.693165225321314,1.9581052688571583,0.5271084000762936,1.4293528678567187,0.9851197952920138,-7.234162983698501,-9.175437056825984,0.6028469153082084,0.7646197547354987,0.002537721247161272,0.050920618457910544,5.068172259760146,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,0.27844962385851957,0.46097547464006833,2.2223212877985383,1.009664859502065,2.3532639244052733,0.3470894385839207,1.28540031870601,2.3198204335390287,1.2261409684416358,1.0869516106584085,3.0569030140507265,2.4326346640043655,2.442450893041698,2.156017450933814,2.535276245491226,1.9607322905540365,-7.8856789793984925,-9.175437056825984,0.6571399149498743,0.7646197547354987,0.014925208898326391,0.050920618457910544,6.085052271196297,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,2.0665027397573046,0.9155761327348931,1.5849744152093084,1.500122768140878,1.9068706113089962,2.6249099738274273,0.6071348214768095,0.24855615422289634,3.0085893332067823,2.6849589357457377,0.39871962306521147,0.9257446134170397,1.5011726492056707,1.647751754813441,2.1764741837285633,0.3433426758996576,-6.594155236247999,-9.175437056825984,0.5495129363539999,0.7646197547354987,0.0035514077143199915,0.050920618457910544,4.729002731359074,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,2.4191600056203955,2.360773407844039,2.6392732868297277,0.23267677265908793,1.1085895155564258,1.4297671206821767,1.945848506701918,2.7913924451076144,0.406921716072988,2.9682272043291644,1.8544603942601678,2.1232463695990678,1.0541714606161874,0.7865536117115008,2.4249078769777523,1.383166275892118,-6.3441393232122145,-9.175437056825984,0.5286782769343512,0.7646197547354987,0.014671205721607428,0.050920618457910544,6.63706301708676,14.074083888854151,55.18211570759569,0.0,0.0,0,0.0,0.0,0.0,0.0
