,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,BETA_3,GAMMA_3,BETA_4,GAMMA_4,BETA_5,GAMMA_5,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,2.219947365658492,1.7288286313567258,0.6437580343861858,1.8636410422961884,0.7592786899178829,1.1447367992548192,1.6378327992837218,2.147459854824484,1.6159949300282972,2.9712523641283624,0.04062225379932744,1.4263712798059627,-6.580280875272001,-6.580280875272001,0.5483567396060001,0.5483567396060001,0.0027751942580259994,0.0027751942580259994,6.073687326837529,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,1.1278231633623994,1.0155710869623569,0.014962634899713726,1.1468540038246164,1.2723660212576566,0.03222604426725431,0.8938317164599786,0.13249174031531405,2.9208577276912946,2.2200264153380016,1.3673395391171455,0.2813851485797211,-6.855112823504304,-6.855112823504304,0.571259401958692,0.571259401958692,0.02892808194542138,0.02892808194542138,5.899326077082279,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,2.985680802108126,0.48173690614964043,2.671782922261039,0.02297034085487653,0.2135731263090106,1.5057203188612944,1.0991406793699086,2.314485507353408,1.2817062518511981,1.0803734208779703,2.4313996151295156,1.597788031621833,-7.76202891535241,-7.76202891535241,0.6468357429460342,0.6468357429460342,0.02051521609183112,0.02892808194542138,4.903862581225916,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.7349672632661979,1.3641630244033507,2.992516658103027,2.1341655518409715,2.9247135640453754,0.7081477201286922,2.142367669367154,0.49229157003881324,0.8361720577222409,2.774967763398147,3.0722743304033635,2.840174539756252,-8.333176789695328,-8.333176789695328,0.6944313991412773,0.6944313991412773,0.03837355374236488,0.03837355374236488,5.32306757001264,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,1.2988936855324131,0.20344103791507967,1.970541959940063,2.8152907085385688,0.34975988981614253,2.3470540937333686,0.06628480261167645,2.7420207662072675,2.7106467312116393,0.21416615003174339,0.3317900387715718,2.380784781434598,-4.355957654727553,-8.333176789695328,0.3629964712272961,0.6944313991412773,0.00020126663688016056,0.03837355374236488,6.4359870187682375,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.1666758538287642,2.8422189941664655,1.2929522598715084,2.391572921669695,2.105862877168246,1.9493803187233265,2.7947776641003883,3.018775061494624,0.04869589503409892,1.6015873676626424,1.8158403353810377,2.17746291300999,-7.434826205080341,-8.333176789695328,0.6195688504233617,0.6944313991412773,0.0025038331658743655,0.03837355374236488,5.788500953740133,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,0.3896343659977206,2.6337178260550678,1.8145787579475767,2.983167512540567,2.492908844913515,1.6697167611718156,2.350325166035631,1.0419700538711085,2.1745038014340135,0.4343887317285049,2.7124592751291314,0.47995542700395494,-6.916570398335776,-8.333176789695328,0.5763808665279814,0.6944313991412773,0.005616561158339863,0.03837355374236488,6.298795556763288,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,2.723373935065643,2.316704052103295,2.337317945912478,0.4430633267450866,2.808585472780605,2.757928209856391,0.61380095129083,0.8294445230155721,0.4856862641757371,0.914296875812421,0.7404160886902776,2.6758131044623505,-7.321984244951024,-8.333176789695328,0.6101653537459187,0.6944313991412773,0.00016225880112200422,0.03837355374236488,3.1936546111237263,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,0.7927949110094364,2.015012893667328,0.3435526989940117,0.765069275722554,1.2333621305418339,0.5904503351350867,2.924293591690702,1.4747657559775684,1.0261118687627375,1.4158850537227539,2.083211870295715,1.0310718521444509,-6.447123268830731,-8.333176789695328,0.5372602724025609,0.6944313991412773,0.0011616186143912485,0.03837355374236488,4.423468883783649,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,2.1448127227165132,0.86028609074141,1.1712130879823182,1.445735633550457,1.6048844855080686,2.8871383399907695,1.3185036137802713,1.6913051647079607,2.5127018889294828,2.112509640566248,1.105493929132171,0.6681183665459496,-8.049225842850472,-8.333176789695328,0.6707688202375394,0.6944313991412773,0.009312461105613854,0.03837355374236488,5.292314133514992,5.816681710845479,28.85238792898658,0.0,0.0,0,0.0,0.0,0.0,0.0
