,iter ,BETA_0,GAMMA_0,BETA_1,GAMMA_1,BETA_2,GAMMA_2,energy,best_energy,approx_ratio,best_approx_ratio,fidelity,best_fidelity,variance,corr_length,const_kernel,std_energies,average_distances,nit,time_opt_bayes,time_qaoa,time_opt_kernel,time_step
0,0,1.1479121305326803,1.2002258668413774,3.113859778477905,1.3712432977672007,2.997747002105614,1.892815086291356,-5.8537693984164445,-5.8537693984164445,0.4878141165347037,0.4878141165347037,0.0005095645330599648,0.0005095645330599648,4.35890318220175,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
1,1,2.8749162224320486,1.626853399035084,2.499165596238311,2.028203376639167,0.44608538591371705,0.3074570542297449,-6.3767337992214985,-6.3767337992214985,0.5313944832684582,0.5313944832684582,0.007284311276427032,0.007284311276427032,6.027332582145753,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
2,2,0.17367959435387792,0.21995330494809728,0.2553647682898607,0.6998846215743165,0.8176694089756752,1.2303243149708594,-9.778246619814315,-9.778246619814315,0.8148538849845263,0.8148538849845263,0.0549377999053943,0.0549377999053943,2.102508063622409,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
3,3,1.7733777083831028,2.8551006450074436,1.1406311026714482,0.2644933054063442,0.30226022007162795,1.4154050578302622,-6.474416659517341,-9.778246619814315,0.5395347216264451,0.8148538849845263,0.005840311162700588,0.0549377999053943,5.9297128153639775,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
4,4,2.30622278105127,2.072839711369942,1.3101372455036082,1.0983884517320512,1.639231650080805,2.6514506767330235,-6.5736629282652395,-9.778246619814315,0.5478052440221033,0.8148538849845263,0.00584990252162176,0.0549377999053943,5.397401096294416,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
5,5,0.7644636458587922,2.386096997997193,2.167754973124649,2.2946251460329967,2.2464602677393954,0.722428510161167,-6.481622344604345,-9.778246619814315,0.5401351953836954,0.8148538849845263,0.009310012941970012,0.0549377999053943,7.6403504088122745,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
6,6,2.697042415535027,2.8011548724414594,0.5781369450188655,0.46368491045983345,1.056312299969493,2.5070136422329425,-4.813826601595513,-9.778246619814315,0.40115221679962604,0.8148538849845263,0.002911726353167227,0.0549377999053943,6.868200159810726,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
7,7,1.9068307099927162,0.7256878549696629,1.662732927087655,2.518977571252481,2.634016568869755,1.7347466520216566,-7.35265678312557,-9.778246619814315,0.6127213985937975,0.8148538849845263,0.009852210857723902,0.0549377999053943,4.305431527845414,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
8,8,0.5660445093256055,1.361206085399654,2.609424691331868,1.5906035498580195,1.283315181005097,0.48245905195575184,-8.757294578838483,-9.778246619814315,0.7297745482365402,0.8148538849845263,0.10285545667476317,0.10285545667476317,4.510654796903907,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
9,9,1.308816889571293,0.33630106693619694,0.8189743018897977,2.9516986892887833,2.016261181870411,2.9911339250820412,-6.137013299588211,-9.778246619814315,0.5114177749656842,0.8148538849845263,0.0033042256552875348,0.10285545667476317,6.588663535274598,2.27867628351052,20.52766178727812,0.0,0.0,0,0.0,0.0,0.0,0.0
10,1,0.10518126446158596,0.026355009726288743,1.1858770871166442,0.7443565871487946,0.6509920845864505,0.3854862490744848,-6.506081949467612,-9.778246619814315,0.5421734957889677,0.8148538849845263,0.001957254160950975,0.10285545667476317,5.223611575621668,1.3396445221206712,18.64018750958485,8.499760678339528e-05,0.008547195859368433,35,1.1174595355987549,1.2473499774932861,0.12534523010253906,2.490206480026245
11,2,0.33324202208920833,0.5604844682267227,0.0672766054375718,0.8205610264745182,0.9930119784502518,1.673874571826576,-8.337064074471874,-9.778246619814315,0.6947553395393228,0.8148538849845263,0.006022127658502106,0.10285545667476317,2.073219614091542,1.0763541822719493,18.61241993507751,0.0002568018110901136,0.00964963877736588,36,1.1333911418914795,1.222076654434204,0.16349029541015625,2.5189924240112305
12,3,0.9004955307111777,1.3261811996840571,2.2829346651560707,1.584679862574325,1.182299951962089,0.9158729202884298,-6.49680369865377,-9.778246619814315,0.5414003082211475,0.8148538849845263,0.0015394662786998078,0.10285545667476317,4.751661037137033,1.0213495331153384,24.159418805341453,0.0004946077839287981,0.009951951478757062,36,1.1907756328582764,1.242642879486084,0.1322183609008789,2.5656890869140625
13,4,0.32927445544989065,1.4688952891679277,2.9287053755292995,1.5906631598788346,1.4262745547538136,0.020786543869864428,-8.427892869330247,-9.778246619814315,0.7023244057775205,0.8148538849845263,0.011430287297102045,0.10285545667476317,3.0729726672533957,0.9481054243266428,21.65473766360167,0.0005980182407914057,0.00895101986153505,38,1.1909995079040527,1.2593269348144531,0.11867570877075195,2.5690369606018066
14,5,0.2419483740938111,1.2752908817388038,2.6039105888439864,1.6993647200632191,1.4634442141545676,0.3766488821930157,-8.858626499976168,-9.778246619814315,0.738218874998014,0.8148538849845263,0.04495047665058971,0.10285545667476317,4.085448213165165,0.9722830124921227,20.950782953220706,0.0004341724409332731,0.009404703938894591,72,2.1824822425842285,1.2246816158294678,0.1329329013824463,3.5401313304901123
15,6,0.21752106775560198,1.5305892310885325,2.609526392856602,1.413244597947741,1.3255564399401523,0.3939999143609727,-9.359695178103314,-9.778246619814315,0.7799745981752761,0.8148538849845263,0.10381092455615643,0.10381092455615643,3.685227770554576,0.9865613589735448,20.92968382063441,0.00029931990466050594,0.009779384055763667,111,3.3270087242126465,1.2667417526245117,0.12371993064880371,4.717532157897949
